RecieptNumber, Date, CustomerId
18129, '28-Oct-2007', 15
51991, '17-Oct-2007', 14
83085, '12-Oct-2007', 7
70723, '28-Oct-2007', 20
13355, '19-Oct-2007', 7
52761, '27-Oct-2007', 8
99002, '13-Oct-2007', 20
58770, '22-Oct-2007', 18
84665, '10-Oct-2007', 6
55944, '16-Oct-2007', 19
42166, '14-Oct-2007', 8
16034, '10-Oct-2007', 4
25906, '29-Oct-2007', 15
27741, '25-Oct-2007', 8
64451, '10-Oct-2007', 11
41028, '6-Oct-2007', 17
73716, '29-Oct-2007', 18
76667, '14-Oct-2007', 15
21040, '3-Oct-2007', 6
48332, '15-Oct-2007', 20
35011, '10-Oct-2007', 20
95962, '26-Oct-2007', 8
44798, '4-Oct-2007', 16
60270, '31-Oct-2007', 11
21162, '4-Oct-2007', 8
77406, '9-Oct-2007', 13
32565, '24-Oct-2007', 14
36343, '31-Oct-2007', 19
96619, '7-Oct-2007', 18
86678, '24-Oct-2007', 3
44330, '20-Oct-2007', 18
91937, '21-Oct-2007', 12
21545, '22-Oct-2007', 12
29226, '26-Oct-2007', 14
25121, '20-Oct-2007', 18
54935, '16-Oct-2007', 14
36423, '24-Oct-2007', 16
83437, '15-Oct-2007', 8
49854, '12-Oct-2007', 2
99994, '21-Oct-2007', 6
21622, '10-Oct-2007', 7
64861, '15-Oct-2007', 10
33456, '5-Oct-2007', 16
75468, '21-Oct-2007', 10
56365, '14-Oct-2007', 12
91192, '10-Oct-2007', 5
82056, '7-Oct-2007', 18
27192, '28-Oct-2007', 9
59716, '30-Oct-2007', 2
82795, '8-Oct-2007', 15
26240, '7-Oct-2007', 16
56724, '9-Oct-2007', 13
70796, '31-Oct-2007', 12
37636, '20-Oct-2007', 1
63998, '13-Oct-2007', 20
48981, '24-Oct-2007', 20
66704, '29-Oct-2007', 14
12698, '23-Oct-2007', 19
79287, '30-Oct-2007', 8
55690, '15-Oct-2007', 19
94371, '22-Oct-2007', 8
26148, '19-Oct-2007', 20
11923, '9-Oct-2007', 15
46598, '3-Oct-2007', 14
76951, '27-Oct-2007', 14
85858, '31-Oct-2007', 1
85881, '13-Oct-2007', 1
89937, '20-Oct-2007', 7
66227, '10-Oct-2007', 1
60240, '17-Oct-2007', 17
86085, '16-Oct-2007', 1
67314, '23-Oct-2007', 6
10013, '17-Oct-2007', 15
26741, '24-Oct-2007', 7
38157, '23-Oct-2007', 16
45873, '5-Oct-2007', 13
37540, '3-Oct-2007', 20
11891, '30-Oct-2007', 7
61797, '30-Oct-2007', 8
52369, '15-Oct-2007', 5
96430, '4-Oct-2007', 18
64301, '12-Oct-2007', 14
45976, '3-Oct-2007', 10
39605, '12-Oct-2007', 12
52013, '5-Oct-2007', 13
88626, '25-Oct-2007', 17
53376, '30-Oct-2007', 8
15584, '13-Oct-2007', 3
73437, '1-Oct-2007', 6
24200, '16-Oct-2007', 9
92252, '25-Oct-2007', 7
39685, '28-Oct-2007', 1
61378, '8-Oct-2007', 11
96761, '14-Oct-2007', 20
26198, '12-Oct-2007', 11
78179, '24-Oct-2007', 14
68890, '27-Oct-2007', 7
75526, '22-Oct-2007', 18
86162, '10-Oct-2007', 16
13496, '30-Oct-2007', 11
60469, '20-Oct-2007', 4
50660, '18-Oct-2007', 9
64553, '8-Oct-2007', 17
57784, '15-Oct-2007', 7
84258, '22-Oct-2007', 2
68199, '4-Oct-2007', 9
78187, '17-Oct-2007', 14
81517, '10-Oct-2007', 1
18951, '14-Oct-2007', 20
20411, '8-Oct-2007', 7
55494, '20-Oct-2007', 15
42162, '16-Oct-2007', 7
49977, '18-Oct-2007', 3
89638, '7-Oct-2007', 4
73438, '18-Oct-2007', 10
96258, '12-Oct-2007', 8
19258, '25-Oct-2007', 5
12800, '22-Oct-2007', 11
81368, '17-Oct-2007', 19
70655, '6-Oct-2007', 2
19002, '19-Oct-2007', 6
31874, '13-Oct-2007', 2
72207, '15-Oct-2007', 1
65091, '9-Oct-2007', 17
42833, '22-Oct-2007', 3
72949, '2-Oct-2007', 6
46248, '12-Oct-2007', 11
38849, '25-Oct-2007', 1
86861, '26-Oct-2007', 9
32701, '19-Oct-2007', 16
89182, '29-Oct-2007', 5
68753, '11-Oct-2007', 5
39217, '19-Oct-2007', 20
96531, '12-Oct-2007', 8
53922, '13-Oct-2007', 2
64477, '16-Oct-2007', 6
99058, '3-Oct-2007', 14
77032, '28-Oct-2007', 14
15286, '11-Oct-2007', 6
59774, '2-Oct-2007', 16
35073, '23-Oct-2007', 5
34910, '7-Oct-2007', 20
17685, '2-Oct-2007', 12
45062, '23-Oct-2007', 1
39109, '2-Oct-2007', 16
37063, '22-Oct-2007', 14
18567, '13-Oct-2007', 7
37586, '3-Oct-2007', 8
62707, '7-Oct-2007', 8
28117, '9-Oct-2007', 5
64574, '2-Oct-2007', 6
40305, '25-Oct-2007', 8
33060, '29-Oct-2007', 20
12396, '10-Oct-2007', 10
43103, '7-Oct-2007', 4
39575, '20-Oct-2007', 20
70162, '9-Oct-2007', 19
23034, '15-Oct-2007', 17
79296, '3-Oct-2007', 19
74741, '12-Oct-2007', 20
98806, '15-Oct-2007', 17
43752, '5-Oct-2007', 5
47353, '12-Oct-2007', 6
39829, '31-Oct-2007', 3
87454, '21-Oct-2007', 6
76663, '4-Oct-2007', 10
85492, '20-Oct-2007', 12
48647, '9-Oct-2007', 3
61008, '9-Oct-2007', 14
96402, '4-Oct-2007', 6
35904, '21-Oct-2007', 10
49845, '31-Oct-2007', 20
46014, '16-Oct-2007', 15
46876, '6-Oct-2007', 13
34579, '8-Oct-2007', 7
17729, '16-Oct-2007', 16
74952, '16-Oct-2007', 5
61948, '4-Oct-2007', 5
41064, '25-Oct-2007', 16
17947, '27-Oct-2007', 7
20913, '7-Oct-2007', 8
95514, '9-Oct-2007', 10
24829, '7-Oct-2007', 15
44590, '12-Oct-2007', 1
65165, '4-Oct-2007', 4
89588, '9-Oct-2007', 7
53240, '3-Oct-2007', 14
46674, '29-Oct-2007', 15
67946, '18-Oct-2007', 7
31233, '20-Oct-2007', 13
15904, '6-Oct-2007', 13
17488, '20-Oct-2007', 6
97097, '23-Oct-2007', 9
50512, '27-Oct-2007', 8
11548, '21-Oct-2007', 13
29908, '14-Oct-2007', 13
20127, '7-Oct-2007', 15
41963, '29-Oct-2007', 8
16532, '21-Oct-2007', 4
34378, '23-Oct-2007', 6
